3 4	Distance from Simeria 17.1 km .	O O B-PLACE B-MEASURE I-MEASURE O	O O B-landmark B-trigger I-trigger O
14 14	About 5 km behind that village in the direction to Bata we turned right near 21 E into a way leading into a forest .	B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MEASURE B-PATH I-PATH B-MOTION_SIGNAL O B-PATH B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O B-trajector O B-trigger B-landmark I-landmark O O O O O O O O
6 7	The confluence point is now a few steps from here , and we move in a zigzag through the forest , the arrow on the GPS jumping again and again around .	O O B-PLACE O O O B-MEASURE I-MEASURE O B-PLACE O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-MOTION O O O B-MOTION_SIGNAL O	O O B-trajector O O O B-trigger I-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O
28 29	We drove through the cities of Urziceni , Buzau , Ramnicu Sarat and , after three hours of driving and 200 km , we reached Focsani , at 35 km from the confluence point , in the county of Vrancea We continued our journey , heading west , towards Panciu .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O B-PLACE I-PLACE O O O O O O B-MOTION O B-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trigger I-trigger O O O B-landmark O O O O O O O O O O O O O O O O O
16 17	At first it seemd quite easy to reach the point from the road , but after 100 meters we discovered a small river hidden by trees and of course no bridge .	O O O O O O O B-MOTION O B-PLACE B-MOTION_SIGNAL O B-PATH O O O B-MEASURE I-MEASURE B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-PATH O O O O O O O O O	O O O O O O O O O O O O B-trajector O O O B-trigger I-trigger O B-landmark O O O O O O O O O O O O
10 10	23-Jul-2002 -- 47°N 26°E is located in the Ceahlău mountains near the village Izvoru Alb .	O O B-PLACE I-PLACE O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PATH I-PATH B-MEASURE O B-PLACE B-PLACE I-PLACE O	O O O O O B-trajector O O O O B-trigger O B-landmark O O O
5 5	I decided to camp as close to the point as possible so that I could make an early start and drive home on the Sunday .	B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O B-MEASURE O O B-PLACE O O O O B-SPATIAL_ENTITY O O O O O O B-MOTION B-PLACE O O O O	O O O B-trajector O B-trigger O O B-landmark O O O O O O O O O O O O O O O O O
1 3	After about 2 km we turned left on a field track along a high corn field .	B-MOTION_SIGNAL B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PATH B-SPATIAL_SIGNAL O O O B-PLACE O	O B-trigger I-trigger I-trigger O B-landmark O O O O O O O O O O O
28 28	Imposing buildings in this high-rent district contain the head offices or branches of more than 100 banks , plus insurance companies , the finance ministry , and on nearby Plaza de la Lealtad , the Bolsa de Comercio ( Stock E xchange ) .	O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O O B-PLACE O B-PLACE O O O O O O O O B-PLACE O O O B-PLACE O O B-SPATIAL_SIGNAL B-MEASURE B-PLACE I-PLACE I-PLACE I-PLACE O O B-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE O O	O O O O O B-landmark O O O O O O O O O O O O O O O O O O O O O O B-trigger B-trajector I-trajector I-trajector I-trajector O O O O O O O O O O O
34 35	On 26th of December the four of us - me , my wife Judit , her father Apja and her friend Andrea - went for discovering this confluence in the Bodok mountains , only 23 km apart from Sepsiszentgyörgy .	O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION O B-MOTION O B-PLACE B-SPATIAL_SIGNAL O B-PATH I-PATH O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O O O O B-trigger I-trigger O O B-landmark O
13 14	Paseo de la Castellana is Madrid ’s principal north-south avenue , running for several miles through the heart of the city and bordering the Salamanca district to its west .	B-PATH I-PATH I-PATH I-PATH O B-PLACE O O O B-PATH O B-MOTION O B-MEASURE I-MEASURE B-MOTION_SIGNAL O B-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE I-PLACE O B-PATH B-SPATIAL_SIGNAL O	O O O O O O O O O O O B-landmark O B-trigger I-trigger O O O O O O O O O O O O O O O
10 11	The closest area of the road to the confluence ( 4.8 km ) is in the vicinity of the Ecaterina Teodoroiu monument ( Romanian female hero of the First World War ) .	O O B-PATH O O B-PATH B-SPATIAL_SIGNAL O B-PLACE O B-MEASURE I-MEASURE O O B-SPATIAL_SIGNAL O B-PLACE O O B-PLACE I-PLACE I-PLACE O O O O O O O O O O O	O O B-trajector O O O O O B-landmark O B-trigger I-trigger O O O O O O O O O O O O O O O O O O O O O
