3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
14 14	About 5 km behind that village in the direction to Bata we turned right near 21 E into a way leading into a forest .	B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MEASURE B-PATH I-PATH B-MOTION_SIGNAL O B-PATH B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O B-trajector O B-trigger B-landmark I-landmark O O O O O O O O
43 43	We drove through the cities of Urziceni , Buzau , Ramnicu Sarat and , after three hours of driving and 200 km , we reached Focsani , at 35 km from the confluence point , in the county of Vrancea We continued our journey , heading west , towards Panciu .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O B-PLACE I-PLACE O O O O O O B-MOTION O B-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O
3 3	The small museum houses historic posters , capes , swords , paintings , and photos for aficionados of the corrida , and is perhaps best visited out of bullfighting season for those who want to get a glimpse of the interior of the ring .	O O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O O O O B-MOTION O O O O O O O O O O O O O O B-PLACE O O B-PLACE O	O O B-landmark B-trigger O B-trajector O B-trajector O B-trajector O B-trajector O O B-trajector O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5 5	The next three days , south of San Felipe , were slow hard days on a poorly maintained , little used road along the rocky shore .	O O O B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-PLACE I-PLACE O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O O O O B-PATH B-SPATIAL_SIGNAL O O B-PATH O	O O O B-trajector O B-trigger O B-landmark I-landmark O O O O O O O O O O O O O O O O O O
20 20	Dennis and I biked one day to the capital of Belize , Belmopan , a town of 10,000 people , where we met with an organization helping Caribbean nations adapt to climate change .	B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION O O B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O O B-PLACE O O O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O O O O O O O O	O O O O O O O O B-landmark O O O O O O O O O O O B-trigger O B-trajector O O O O O O O O O O O
31 31	The third anchor in the golden art trio , a landmark of old Madrid , is the Hospital de San Carlos ( c / Santa I­sa­bel 52 ) , which now houses the Centro de Arte Reina Sofía .	O O B-PLACE O O O O B-PLACE O O B-PLACE O B-PLACE I-PLACE O O O B-PLACE I-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-landmark O B-trigger O B-trajector I-trajector I-trajector I-trajector I-trajector O
7 7	It destroyed some coastal communities and then dropped amazing amounts of rain .	B-SPATIAL_ENTITY O O O O O O B-MOTION O O O B-SPATIAL_ENTITY O	O O O O O O O B-trigger O O O B-mover O
5 5	04-Sep-2004 -- We began our expedition on Saturday , September 4th , 2004 .	O O B-SPATIAL_ENTITY O O B-MOTION O O O O O O O O	O O B-mover O O B-trigger O O O O O O O O
7 7	The scenery has changed as I have ridden farther south , with the mountains becoming more abrupt ( including some volcanoes ) , and the vegetation turning into tall cactus forests .	O O O O O B-SPATIAL_ENTITY O B-MOTION O B-MOTION_SIGNAL O O O B-PLACE O O O O O O B-PLACE O O O O O O O O O B-PLACE O	O O O O O B-mover O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O
15 15	Two weeks up the Amazon River Wednesday , September 6th , 2006 From the city of Manaus , I biked to the river port , where I found a boat headed upriver towards Peru .	O O O O O O O O O O O O B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O O O O O O O O O O O O O O O O O O
