DATE Date
TIME Time
DURATION Duration
TIME_SET TimeSet
PLACE Place
MILITARY_PLACE MilitaryPlace
MILITARY_BASE MilitaryBase
COUNTRY Country
ADMIN_DIV AdministrativeDivision
PATH Path
P_MILITARY_PLACE P_MilitaryPlace
ORGANIZATION Organization
ARMY Army
PERSON Person
COMMANDER Commander
WEAPON Weapon
NONMOTION_EVENT Event
MILITARY_EXERCISE MilitaryExercise
CONFERENCE Conference
SPATIAL_ENTITY SpatialEntity
MEASURE Measure
SPATIAL_SIGNAL SpatialSignal
MOTION Motion
MOTION_SIGNAL MotionSignal
LITERAL Literal
